episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
98,3,1,-421.8114168266645,0,1,0,700,0.6118738784280476,-495.23947611988353,0,32,-399.46035661265313,0,0,-399.53586893559753,0,0,-414.61129433763733,1,0,-400.21008812755224,0,0
99,4,1,-410.259846435773,0,1,0,700,0.6088145090359074,-398.82612661210004,0,0,-453.2600929689602,0,18,-399.31523006400005,0,0,-399.64087714777736,0,0,-400.25690538602555,0,0
100,9,0,-425.2607733616199,0,1,0,700,0.6057704364907278,-459.4840126868637,4,0,-399.38940332020235,0,0,-399.6964113255216,0,0,-423.5257420161365,0,8,-444.2082974593744,3,0
101,5,0,-414.76094157748037,0,1,0,700,0.6027415843082742,-434.765639784256,0,12,-399.3018405207804,0,0,-399.27136460536883,0,0,-399.1589813593656,0,0,-441.3068816176309,0,14
102,0,1,249.71428571428572,1,0,0,1,0.5997278763867329,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
103,9,1,-409.099687913172,0,1,0,700,0.5967292370047992,-399.00676309775577,0,0,-429.17442171027915,0,10,-408.1392409445967,0,3,-410.79064584900743,0,4,-398.3873679642194,0,0
104,8,0,-399.24269473498634,0,1,0,700,0.5937455908197752,-398.70373253439806,0,0,-398.9890542853224,0,0,-399.3115103086586,0,0,-399.67438246449245,0,0,-399.5347940820613,0,0
105,7,1,-496.9633578980146,0,1,0,700,0.5907768628656763,-399.32878820452424,0,0,-414.769885519517,1,0,-669.8884111652984,13,25,-489.9299219122183,6,0,-510.8997826885128,0,37
106,1,0,-414.17461327219024,0,1,0,700,0.5878229785513479,-398.4855063738988,0,0,-399.0296566640871,0,0,-399.04642198589187,0,0,-453.6268029983619,0,18,-420.6846783387098,0,7
107,2,1,-399.2990012803534,0,1,0,700,0.5848838636585911,-398.4733124533642,0,0,-398.91693138020827,0,0,-399.3233513180482,0,0,-399.8920506206681,0,0,-399.88936062947954,0,0
108,10,1,-432.3553045850573,0,1,0,700,0.5819594443402982,-399.2376225892627,0,0,-399.30134764064,0,0,-399.30720433405116,0,0,-399.3436217768354,0,0,-564.5867265844984,6,25
109,1,0,74.67040371426324,1,0,0,217,0.5790496471185967,80.21306563080756,0,0,79.9751213581199,0,0,52.9137999913076,0,9,79.92768932094779,0,0,80.32234227013316,0,0
110,6,0,-427.1759495812306,0,1,0,700,0.5761543988830038,-414.4430771487064,0,5,-399.694827765089,0,0,-489.74509956836266,0,30,-405.45853534330803,0,2,-426.53820808068474,0,9
111,2,1,-11.67102814068025,1,0,0,334,0.5732736268885887,-11.783135070091646,0,0,-11.735431061164746,0,0,-11.740524853057366,0,0,-11.488756589051519,0,0,-11.607293130036169,0,0
112,2,0,-399.3847095769031,0,1,0,700,0.5704072587541458,-399.1385758815293,0,0,-399.373730213604,0,0,-399.3163474718796,0,0,-399.3171967686552,0,0,-399.7776975488469,0,0
113,6,1,-399.18537683298683,0,1,0,700,0.567555222460375,-399.09538872689654,0,0,-399.1678760659177,0,0,-399.4507024288833,0,0,-399.14918460550825,0,0,-399.0637323377288,0,0
114,11,0,-399.45959127637275,0,1,0,700,0.5647174463480732,-399.1965481056743,0,0,-399.22146283144684,0,0,-399.4573854902173,0,0,-399.4556660814839,0,0,-399.9668938730396,0,0
115,0,0,-399.2054527934317,0,1,0,700,0.5618938591163328,-399.0282369809098,0,0,-399.1736996636158,0,0,-399.16295225279544,0,0,-399.448361599831,0,0,-399.21401347000557,0,0
116,10,0,-495.47311765740324,0,1,0,700,0.5590843898207511,-429.5339947558578,2,0,-774.384378203535,25,0,-444.51329773523156,3,0,-429.34307279050546,2,0,-399.590844801887,0,0
117,7,0,-399.52596710945704,0,1,0,700,0.5562889678716474,-399.3326439460767,0,0,-399.7659759102779,0,0,-399.5566042004474,0,0,-399.45895879399274,0,0,-399.51565269649075,0,0
118,1,1,-512.7919486593044,0,1,0,700,0.5535075230322891,-450.54370292494264,3,2,-744.5789425776563,23,0,-564.4647195245698,0,55,-399.1734327866055,0,0,-405.1989454827458,0,2
119,8,1,-400.10871451289137,0,1,0,700,0.5507399854171277,-399.100723205209,0,0,-399.5629127922936,0,0,-402.73269184836585,0,1,-399.6222856324859,0,0,-399.5249590861019,0,0
120,5,1,-527.7176463399707,0,1,0,700,0.547986285490042,-501.4779922489798,6,4,-531.5809363867145,3,29,-624.3384300089862,15,0,-576.0096000591078,10,9,-405.18127299606886,0,2
121,4,0,-421.92230119479626,0,1,0,700,0.5452463540625918,-489.35247174784644,6,0,-414.0206144417179,1,0,-399.2624576091294,0,0,-398.99086802764,0,0,-407.985094147644,0,3
122,4,1,-480.4231099497581,0,1,0,700,0.5425201222922789,-488.9899659692017,6,0,-414.39684646017304,1,0,-654.3881623977445,17,0,-399.4854064846283,0,0,-444.8551684370444,3,0
123,11,1,-469.5685436313194,0,1,0,700,0.5398075216808175,-492.3208304653836,6,1,-537.2824828497469,6,16,-399.23887146659627,0,0,-474.2694826122612,0,25,-444.7310507626091,0,15
124,3,0,-405.57177627590613,0,1,0,700,0.5371084840724134,-398.85450151322914,0,0,-428.90205649745184,0,10,-398.87849857881633,0,0,-398.84149553093107,0,0,-402.38232925909887,0,1
125,3,1,-415.17370036877617,0,1,0,700,0.5344229416520513,-399.3444120009895,0,0,-399.39572022551744,0,0,-399.4433115480186,0,0,-414.84520579475014,1,0,-462.8398522746046,3,6
126,5,0,-420.2079985347213,0,1,0,700,0.531750826943791,-504.3388458485756,7,0,-399.3827118559627,0,0,-399.2598919157533,0,0,-399.28751474594145,0,0,-398.771028307374,0,0
127,9,0,-488.8970397089021,0,1,0,700,0.5290920728090721,-435.42241059199796,2,2,-684.5035844060841,19,0,-399.49506463922154,0,0,-510.51114913513777,3,22,-414.55298977206786,1,0
