episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
120,5,3,-649.2148012757307,0,1,0,700,-1029.750045567751,0,211,-724.4782663881779,0,125,-418.6761964559555,3,8,-478.634386330843,0,43,-394.5351116359234,0,15
121,2,0,-399.34993322491647,0,1,0,700,-398.67918929457664,0,0,-349.0111814439297,0,0,-349.52825260162354,0,0,-349.66524037718773,0,0,-349.8658024072647,0,0
122,2,1,-62.268830571004344,1,0,0,290,-377.06521036369463,15,59,-142.0929326415062,0,0,-142.49981114268303,0,0,-169.72697523236275,0,9,-148.5306520462036,0,2
123,4,2,-598.0996049898015,1,0,0,222,-1273.4552925484522,90,0,-1864.9343633055687,117,0,-379.6865334510803,18,0,-109.34076446294785,0,0,-109.36678546667099,0,0
124,2,0,236.4270588372435,1,0,0,18,236.69911195976394,0,0,-8.448049873113632,0,0,-8.628874361515045,0,0,-8.649360954761505,0,0,-8.266104012727737,0,0
125,0,2,-1092.744030934572,0,1,0,700,-397.66317319869995,0,0,-1307.5070598125458,64,0,-1952.2048285603523,107,0,-626.3425581157207,15,18,-980.0025349855423,42,1
126,2,0,188.38969182627542,1,0,0,80,188.7640960599695,0,0,-38.60065487027168,0,0,-38.814786434173584,0,0,-39.009546905756,0,0,-38.96207728981972,0,0
127,3,0,-66.06717970711858,1,0,0,332,-259.58742960436007,0,84,-163.27115032076836,0,0,-163.8759821653366,0,0,-164.09229627251625,0,0,-200.08046874403954,0,12
128,2,0,224.32792023335185,1,0,0,34,224.69392241750444,0,0,-15.932252943515778,0,0,-16.08355289697647,0,0,-16.209120512008667,0,0,-15.972252041101456,0,0
129,4,3,-449.7640657722956,0,1,0,700,-398.2864682674408,0,0,-348.4009407758713,0,0,-528.679679363966,12,0,-424.1514427661896,5,0,-349.30179768800735,0,0
130,3,2,-430.78975018858904,0,1,0,700,-401.5833861529827,0,1,-372.49451118707657,0,8,-483.39165329933167,9,0,-348.3251957297325,0,0,-348.154004573822,0,0
